Activity Type;Date;Favorite;Title;Distance;Calories;Time;Avg HR;Max HR;Avg Run Cadence;Max Run Cadence;Avg Pace;Best Pace;Total Ascent;Total Descent;Avg Stride Length;Avg Vertical Ratio;Avg Vertical Oscillation;Avg Ground Contact Time;Training Stress Score®;Grit;Flow;Total Strokes;Avg. Swolf;Avg Stroke Rate;Total Reps;Decompression;Best Lap Time;Number of Laps;Max Temp;Stress Change;Stress Start;Stress End;Moving Time;Elapsed Time;Min Elevation;Max Elevation
Running;22/05/2024 05:29;false;Santiago de Surco Running;7.02;440;00:42:09;156;176;178;185;06:00;04:43;13;181;0.94;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;00:07.6;8;NaN;--;--;--;00:42:00;00:42:09;8;190
Running;21/05/2024 05:11;false;Santiago de Surco Running;3.24;179;00:19:35;143;159;183;195;06:03;05:19;--;164;0.9;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;01:15.7;4;NaN;--;--;--;00:19:33;00:19:35;-21;147
Running;19/05/2024 05:32;false;10K Maratón Lima;10.11;534;00:49:49;156;170;178;191;04:56;03:58;135;217;1.14;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;00:26.1;11;NaN;--;--;--;00:49:44;00:49:49;46;150
Running;16/05/2024 20:44;false;Santiago de Surco Running;6.04;351;00:37:16;143;164;176;195;06:10;04:59;4;84;0.92;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;00:11.4;7;NaN;--;--;--;00:37:14;00:37:16;91;169
Running;15/05/2024 06:08;false;Santiago de Surco Running;4.59;280;00:27:59;152;168;179;187;06:05;04:38;2;85;0.92;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;02:50.6;5;NaN;--;--;--;00:27:58;00:27:59;69;157
Running;14/05/2024 07:09;false;Santiago de Surco Running;7.31;397;00:41:24;143;168;184;195;05:40;04:28;13;75;0.96;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;01:20.3;8;NaN;--;--;--;00:41:21;00:41:24;85;154
Running;13/05/2024 05:06;false;Santiago de Surco Running;7.54;471;00:46:27;152;176;185;195;06:10;04:40;24;98;0.88;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;02:32.4;8;NaN;--;--;--;00:46:26;00:46:27;67;149
Running;9/05/2024 07:01;false;Lurigancho Running;2.17;105;00:11:22;138;158;176;193;05:15;04:35;6;66;1.08;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;00:51.3;3;NaN;--;--;--;00:11:22;00:11:22;864;927
Running;7/05/2024 04:35;false;Santiago de Surco Running;15.34;881;01:26:29;151;176;181;195;05:38;04:30;56;125;0.98;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;01:35.9;16;NaN;--;--;--;01:26:21;01:26:29;255;337
Running;6/05/2024 17:25;false;Santiago de Surco Running;5.17;297;00:28:38;151;166;175;187;05:32;04:10;7;77;1.03;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;00:41.9;6;NaN;--;--;--;00:28:36;00:28:38;269;344
Running;5/05/2024 05:00;false;Santiago de Surco Running;5.32;317;00:32:41;148;167;182;191;06:09;05:17;15;96;0.89;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;01:43.3;6;NaN;--;--;--;00:32:38;00:32:41;187;288
Running;3/05/2024 04:56;false;Santiago de Surco Running;12.02;722;01:09:45;153;170;180;189;05:48;04:35;40;120;0.96;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;00:05.8;13;NaN;--;--;--;01:09:40;01:09:45;137;220
Running;2/05/2024 07:11;false;Santiago de Surco Running;6.18;334;00:34:52;143;157;179;189;05:38;04:09;19;152;0.99;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;00:45.1;7;NaN;--;--;--;00:34:50;00:34:52;72;211
Running;1/05/2024 05:02;false;Santiago de Surco Running;7.06;404;00:43:13;141;163;181;187;06:07;04:50;23;98;0.9;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;00:15.3;8;NaN;--;--;--;00:43:03;00:43:13;148;224
Running;30/04/2024 04:20;false;Santiago de Surco Running;7.36;441;00:43:34;149;164;184;193;05:55;05:07;24;83;0.92;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;01:49.3;8;NaN;--;--;--;00:43:32;00:43:34;126;196
Running;26/04/2024 05:01;false;Santiago de Surco Running;8.08;504;00:48:37;155;172;178;191;06:01;05:06;43;177;0.93;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;00:20.8;9;NaN;--;--;--;00:48:34;00:48:37;12;154
Running;25/04/2024 04:21;false;Santiago de Surco Running;16.27;1,090;01:34:07;165;193;177;187;05:47;05:05;65;151;0.97;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;01:21.1;17;NaN;--;--;--;01:34:01;01:34:07;72;156
Running;24/04/2024 05:03;false;Santiago de Surco Running;7.06;413;00:39:24;152;176;183;191;05:35;04:27;24;87;0.98;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;00:15.7;8;NaN;--;--;--;00:39:21;00:39:24;18;103
Running;23/04/2024 04:56;false;Santiago de Surco Running;11.02;627;01:01:10;152;169;182;191;05:33;04:41;46;110;0.99;NaN;NaN;NaN;0;NaN;NaN;--;NaN;NaN;NaN;No;00:06.9;12;NaN;--;--;--;01:01:02;01:01:10;68;136
