Activity Type,Date,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation,Avg Pace_min,time_in_minutes,year,month,day
Running,2024-02-28 17:51:00,5.26,301.0,2024-08-12 00:29:49,150.0,162.0,169.0,181.0,,,10.0,53.0,1.04,6.0,2024-08-12 00:29:26,2024-08-12 00:29:49,92.0,140.0,,,2024,2,28
Running,2024-02-27 06:20:00,10.04,602.0,2024-08-12 00:58:31,150.0,167.0,171.0,185.0,,,72.0,125.0,1.0,11.0,2024-08-12 00:58:21,2024-08-12 00:58:31,22.0,128.0,,,2024,2,27
Running,2024-02-25 06:36:00,8.02,430.0,2024-08-12 00:52:56,133.0,153.0,178.0,189.0,,,16.0,58.0,0.85,9.0,2024-08-12 00:52:46,2024-08-12 00:52:56,-51.0,4.0,,,2024,2,25
Running,2024-02-24 07:01:00,15.12,972.0,2024-08-12 01:28:08,160.0,190.0,173.0,183.0,,,75.0,153.0,0.99,16.0,2024-08-12 01:27:55,2024-08-12 01:28:08,-95.0,-10.0,,,2024,2,24
Running,2024-02-21 21:29:00,6.02,370.0,2024-08-12 00:36:13,151.0,165.0,177.0,187.0,,,25.0,56.0,0.94,7.0,2024-08-12 00:36:06,2024-08-12 00:36:13,88.0,127.0,,,2024,2,21
Running,2024-02-20 20:55:00,8.09,496.0,2024-08-12 00:45:43,156.0,171.0,175.0,193.0,,,19.0,46.0,1.01,9.0,2024-08-12 00:45:35,2024-08-12 00:45:43,107.0,144.0,,,2024,2,20
Running,2024-02-17 07:57:00,7.1,390.0,2024-08-12 00:39:34,145.0,162.0,177.0,193.0,,,25.0,59.0,1.02,8.0,2024-08-12 00:39:29,2024-08-12 00:39:34,137.0,189.0,,,2024,2,17
Running,2024-02-15 17:13:00,5.43,319.0,2024-08-12 00:30:39,151.0,177.0,171.0,181.0,,,14.0,38.0,1.04,6.0,2024-08-12 00:30:38,2024-08-12 00:30:39,169.0,196.0,,,2024,2,15
Running,2024-02-14 05:20:00,6.23,351.0,2024-08-12 00:34:33,147.0,171.0,176.0,191.0,,,15.0,60.0,1.02,7.0,2024-08-12 00:34:24,2024-08-12 00:34:33,153.0,205.0,,,2024,2,14
Running,2024-09-02 19:39:00,10.13,631.0,2024-08-12 01:00:13,155.0,171.0,174.0,196.0,,,57.0,103.0,0.97,11.0,2024-08-12 01:00:03,2024-08-12 01:00:13,33.0,88.0,,,2024,9,2
Running,2024-07-02 19:47:00,5.3,343.0,2024-08-12 00:37:57,143.0,167.0,167.0,175.0,,,24.0,87.0,0.83,6.0,2024-08-12 00:37:50,2024-08-12 00:37:57,45.0,114.0,,,2024,7,2
Running,2024-06-02 06:27:00,6.32,445.0,2024-08-12 00:37:06,166.0,179.0,178.0,193.0,,,7.0,79.0,0.96,7.0,2024-08-12 00:37:04,2024-08-12 00:37:06,51.0,132.0,,,2024,6,2
Running,2024-05-02 07:02:00,4.52,288.0,2024-08-12 00:25:47,155.0,181.0,178.0,191.0,,,5.0,181.0,0.98,5.0,2024-08-12 00:25:45,2024-08-12 00:25:47,-15.0,146.0,,,2024,5,2
Running,2024-01-30 20:40:00,5.55,310.0,2024-08-12 00:31:11,142.0,160.0,175.0,200.0,,,37.0,73.0,1.01,6.0,2024-08-12 00:31:03,2024-08-12 00:31:11,52.0,104.0,,,2024,1,30
Running,2024-01-27 07:35:00,5.53,294.0,2024-08-12 00:29:20,142.0,156.0,182.0,197.0,,,16.0,51.0,1.03,6.0,2024-08-12 00:29:13,2024-08-12 00:29:20,104.0,145.0,,,2024,1,27
